title|imdb_number|verified_imdb_number
1st Look|tt1494843|
21 Jump Street|tt0092312|
3-2-1 Penguins!|tt1114703|
30 Rock|tt0496424|
3rd Rock from the Sun|tt0115082|
A Little Late With Lilly Singh|tt10023178|
Aaron Hernandez Uncovered|tt9145294|
Airwolf|tt0086662|
Alfred Hitchcock Presents|tt0047708|
Alien News Desk|tt9287050|
America's Got Talent|tt0759364|
American Greed|tt1190931|
American Ninja Warrior|tt1587934|
Arnie|tt0065274|
Battlestar Galactica|tt0076984|
Beat the Clock|tt0042080|
Beethoven|tt0103786|
Below Deck Mediterranean|tt5665418|
Bethenny Ever After|tt1661102
Bethenny Getting Married?|tt1661102|
Billion Dollar Buyer|tt5363720|
Blue Collar Millionaires|tt5518552
Bluff City Law|tt10312776|
Botched|tt0790590|
Care Bears|tt0284713|
Cash Pad|tt10776962|
Cheers|tt0083399|
Chicago Med|tt4655480|
Chicago P.D.|tt2805096|
Chrisley Knows Best|tt3688530|
Cleopatra in Space|tt11343400|
Cleveland Hustles|tt6049784|
Code Monkeys|tt1068683|
Columbo|tt1466074|
Council of Dads|tt9165830|
Covert Affairs|tt1495708|
Curious George|tt0221100|tt0381971
Dateline NBC|tt0103396|
Days of our Lives|tt0058796|
Deal or No Deal|tt0407380|
Dork Hunters From Outer Space|tt1380835|
Downton Abbey|tt1606375|
Escape to the Chateau|tt6249614|
Escape to the Chateau: DIY|tt8159596|
Eureka|tt0083906|
Everybody Hates Chris|tt0460637|
Everybody Loves Raymond|tt0115167|
Exosquad|tt0106842|
Face Off|tt0068564|
Father of the Pride|tt0361179|
Feherty|tt1962630|
Fievel's American Tails|tt0221172|
Fifi and the Flowertots|tt0484802|
Five Bedrooms|tt11998268|
Five Day Biz Fix|tt10985806|
Flipping Out|tt1078394|
Follow the Leader|tt0020895|
Forensic Files|tt0247882|
Forensic Files|tt0247882|
Frasier|tt0106004|
Friday Night Lights|tt0390022|
George Lopez|tt0310460|
George to the Rescue|tt12464172|
Get Out of My Room|tt0089199|
Ghost Hunters International|tt1122725|
Grace Under Fire|tt0106017|
Grounded for Life|tt0255734|
Guess With Jess|tt1695536|
Hell's Kitchen|tt0031412|tt0437005
Heroes|tt0076138|tt0813715
Highlander|tt0091203|
Hitmen|tt0194942|tt9041792
Hogan|tt11136718|
Hollywood Game Night|tt3037520|
